id,name,category,qty_vehicle,qty_order,sourcing,material,spec,supplier,supplier_part_number,supplier_url,unit_cost_usd,order_cost_usd,order_details,notes
HSUP-010,"Spring-Loaded Connector, Mill-Max 813-22-010-30-000101",Harness,6,6,cots,,,Mouser,813-22-010-30-000101,https://www.mouser.com/ProductDetail/Mill-Max/813-22-010-30-000101,8.60,51.60,,Can populate with just one.
HSUP-011,"SLC Target Connector, Mill-Max 419-10-210-30-054000",Harness,6,6,cots,,,Mouser,419-10-210-30-054000,https://www.mouser.com/ProductDetail/Mill-Max/419-10-210-30-054000,3.63,21.78,,Can populate with just one.
HSUP-012,"Attachment Interface Cable, Molex 79758-1149",Harness,50,50,cots,,,Mouser,79758-1149,https://www.mouser.com/ProductDetail/Molex/79758-1149,1.29,64.50,,
HSUP-013,JST GH Pre-Made Cable Assortment,Harness,1,1,cots,,"positions 3, 4, 5, 6, 9",,,,,,,TBC — pick a specific assortment and supplier before revision B.
FAST-001,"Rivet, 4 mm, for 1-2.5 mm grip",Fasteners,26,26,cots,,,McMaster-Carr,97525A224,https://www.mcmaster.com/97525A224/,,,,
FAST-002,"Rivet, 4 mm, for 2.5-4.5 mm grip",Fasteners,10,10,cots,,,McMaster-Carr,97525A251,https://www.mcmaster.com/97525A251,,,,
FAST-003,"Rivet, 4 mm, for 4.5-6.4 mm grip",Fasteners,10,10,cots,,,McMaster-Carr,97525A226,https://www.mcmaster.com/97525A226,,,,
FAST-004,Socket Head Screw M3x10,Fasteners,8,8,cots,,,McMaster-Carr,91292A113,https://www.mcmaster.com/91292A113,,,,
FAST-005,Flanged Button Head Screw M4x10,Fasteners,16,16,cots,,,McMaster-Carr,92095A190,https://www.mcmaster.com/92095A190,,,,
FAST-006,Button Head Hex-Drive Screw M2x4,Fasteners,12,12,cots,,,McMaster-Carr,92095A451,https://www.mcmaster.com/92095A451/,,,,
FAST-007,Socket Head Screw M3x12,Fasteners,8,8,cots,,,McMaster-Carr,91292A114,https://www.mcmaster.com/91292A114,,,,
FAST-008,Socket Head Screw M3x8,Fasteners,79,79,cots,,,McMaster-Carr,91292A112,https://www.mcmaster.com/91292A112,,,,
FAST-009,Socket Head Screw M3x40,Fasteners,16,16,cots,,,McMaster-Carr,91292A024,https://www.mcmaster.com/91292A024,,,,
FAST-010,Socket Head Screw M2.5x6,Fasteners,4,4,cots,,,McMaster-Carr,91292A010,https://www.mcmaster.com/91292A010/,,,,
FAST-011,Hex Drive Flat Head Screw M3x10,Fasteners,8,8,cots,,,McMaster-Carr,92125A130,https://www.mcmaster.com/92125A130/,,,,
FAST-012,Socket Head Screw M4x8,Fasteners,8,8,cots,,,McMaster-Carr,91292A108,https://www.mcmaster.com/91292A108,,,,
FAST-013,Socket Head Screw M2x6,Fasteners,4,4,cots,,,McMaster-Carr,91292A832,https://www.mcmaster.com/91292A832/,,,,
FAST-014,Flanged Button Head Hex-Drive Screw M3x6,Fasteners,23,23,cots,,,McMaster-Carr,97654A674,https://www.mcmaster.com/products/97654a674/,,,,
FAST-015,Socket Head Hex-Drive Screw M2x5,Fasteners,4,4,cots,,,McMaster-Carr,92855A837,https://www.mcmaster.com/92855A837/,,,,
FAST-016,Socket Head Hex-Drive Screw M2.5x8,Fasteners,4,4,cots,,,McMaster-Carr,91292A012,https://www.mcmaster.com/91292A012/,,,,
FAST-017,Socket Head Hex-Drive Screw M2x10,Fasteners,4,4,cots,,,McMaster-Carr,91292A833,https://www.mcmaster.com/91292A833/,,,,
FAST-018,Socket Head Hex-Drive Screw M5x8,Fasteners,4,4,cots,,,McMaster-Carr,91292A191,https://www.mcmaster.com/91292A191,,,,
FAST-019,Button Head Hex Drive Screw M3x40,Fasteners,4,4,cots,,,McMaster-Carr,92095A203,https://www.mcmaster.com/92095A203/,,,,
FAST-020,Socket Head Screw M3x6,Fasteners,8,8,cots,,,McMaster-Carr,90751A110,https://www.mcmaster.com/90751A110/,,,,
FAST-021,"Threaded Insert M3, 5.7 mm",Fasteners,50,50,cots,,,McMaster-Carr,94459A140,https://www.mcmaster.com/94459A140/,,,,
FAST-022,Threaded Insert M4,Fasteners,8,8,cots,,,McMaster-Carr,94180A351,https://www.mcmaster.com/94180A351/,,,,
FAST-023,Threaded Insert M2,Fasteners,4,4,cots,,,McMaster-Carr,94180A312,https://www.mcmaster.com/94180A312/,,,,
FAST-024,"Threaded Insert M3, 3.8 mm",Fasteners,16,16,cots,,,McMaster-Carr,94180A331,https://www.mcmaster.com/94180A331,,,,
FAST-025,Threaded Insert M2.5,Fasteners,4,4,cots,,,McMaster-Carr,94459A439,https://www.mcmaster.com/94459A439/,,,,
FAST-026,"Washer M3, General Purpose, 3.2 mm ID, 6 mm OD",Fasteners,115,115,cots,,,McMaster-Carr,98689A112,https://www.mcmaster.com/98689A112,,,,
FAST-027,"Washer M4, General Purpose, 4.3 mm ID, 9 mm OD",Fasteners,8,8,cots,,,McMaster-Carr,93475A230,https://www.mcmaster.com/93475A230,,,,
FAST-028,"Washer M2, Nylon, 2.2 mm ID, 5 mm OD",Fasteners,12,12,cots,,,McMaster-Carr,95610A110,https://www.mcmaster.com/95610A110,,,,
FAST-029,"Washer M2.5, Nylon, 2.7 mm ID, 5.6 mm OD",Fasteners,8,8,cots,,,McMaster-Carr,95610A011,https://www.mcmaster.com/95610A011/,,,,
FAST-030,"Washer M3, Nylon, 3.2 mm ID, 6 mm OD",Fasteners,4,4,cots,,,McMaster-Carr,95610A704,https://www.mcmaster.com/95610A704,,,,
FAST-031,"Washer M5, General Purpose, 5.3 mm ID, 10 mm OD",Fasteners,4,4,cots,,,McMaster-Carr,93475A240,https://www.mcmaster.com/93475A240,,,,
FAST-032,Nylon-Insert Locknut M3,Fasteners,12,12,cots,,,McMaster-Carr,90576A811,https://www.mcmaster.com/90576A811,,,,
FAST-033,"Vibration Mount, M3 Rubber Anti-Vibration Spacer",Fasteners,5,5,cots,,,Amazon,,,,,,
FAST-034,"Grommet, Circular, 20 mm OD",Fasteners,4,4,cots,,,Amazon,,,,,,
